CODE,TYPE,EXERCISE,EXPIRY,RATIO,EX STYLE,ISSUER,REGISTRY,LISTED,ISSUED (M),NOTES
A2MJOM,Instalment MINI,0.9502,20/01/2021,1.0,American,CITIWARRANTS,COR,25/01/2016,10,
A2MJOO,Instalment MINI,0.7642,20/01/2021,1.0,American,CITIWARRANTS,COR,03/06/2016,10,
A2MKOA,MINI Call,3.1165,31/12/2029,1.0,American,CITIWARRANTS,COR,29/06/2017,5.4,
A2MKOB,MINI Call,5.6539,31/12/2029,1.0,American,CITIWARRANTS,COR,27/10/2017,5.4,
A2MKOC,MINI Call,2.0881,31/12/2029,1.0,American,CITIWARRANTS,COR,30/06/2016,6,
A2MKOD,MINI Call,1.4153,31/12/2029,1.0,American,CITIWARRANTS,COR,30/06/2016,6,
A2MKOE,MINI Call,0.9682,31/12/2029,1.0,American,CITIWARRANTS,COR,05/09/2016,6,
A2MKOF,MINI Call,2.7803,31/12/2029,1.0,American,CITIWARRANTS,COR,21/10/2016,5.5,
A2MKOG,MINI Call,5.2236,31/12/2029,1.0,American,CITIWARRANTS,COR,27/10/2017,5.4,
A2MKOH,MINI Call,4.7833,31/12/2029,1.0,American,CITIWARRANTS,COR,27/10/2017,5.4,
A2MKOP,MINI Put,10.0471,31/12/2029,1.0,American,CITIWARRANTS,COR,30/06/2016,6,
A2MKOR,MINI Put,9.361,31/12/2029,1.0,American,CITIWARRANTS,COR,30/06/2016,6,
A2MKOS,MINI Put,9.7267,31/12/2029,1.0,American,CITIWARRANTS,COR,30/06/2016,6,
AACKOA,MINI Call,1.1408,31/12/2029,1.0,American,CITIWARRANTS,COR,27/10/2017,0.73,
AACKOB,MINI Call,0.628,31/12/2029,1.0,American,CITIWARRANTS,COR,23/09/2016,0.73,
AACKOD,MINI Call,1.3022,31/12/2029,1.0,American,CITIWARRANTS,COR,24/02/2017,0.73,
AADKOA,MINI Call,1.1574,31/12/2029,1.0,American,CITIWARRANTS,COR,20/05/2016,1.78,
AADKOC,MINI Call,0.6599,31/12/2029,1.0,American,CITIWARRANTS,COR,21/04/2017,1.78,
AADKOD,MINI Call,1.4627,31/12/2029,1.0,American,CITIWARRANTS,COR,23/09/2016,1.78,
AADKOE,MINI Call,1.541,31/12/2029,1.0,American,CITIWARRANTS,COR,21/04/2017,1.78,
AADKOF,MINI Call,1.0239,31/12/2029,1.0,American,CITIWARRANTS,COR,21/04/2017,1.78,
AADKOP,MINI Put,3.0803,31/12/2029,1.0,American,CITIWARRANTS,COR,17/12/2014,1.78,
AADKOR,MINI Put,2.5014,31/12/2029,1.0,American,CITIWARRANTS,COR,08/12/2016,1.78,
ABCKOB,MINI Call,4.7979,31/12/2029,1.0,American,CITIWARRANTS,COR,12/09/2017,1.51,
ABCKOE,MINI Call,5.0521,31/12/2029,1.0,American,CITIWARRANTS,COR,12/08/2014,1.51,
ABCKOP,MINI Put,8.2788,31/12/2029,1.0,American,CITIWARRANTS,COR,28/02/2013,10,
ABCKOQ,MINI Put,8.8045,31/12/2029,1.0,American,CITIWARRANTS,COR,28/02/2013,10,
ACXKOA,MINI Call,4.0255,31/12/2029,1.0,American,CITIWARRANTS,COR,12/09/2017,0.75,
ACXKOC,MINI Call,2.7691,31/12/2029,1.0,American,CITIWARRANTS,COR,29/06/2017,0.75,
ACXKOE,MINI Call,2.1546,31/12/2029,1.0,American,CITIWARRANTS,COR,08/12/2016,0.93,
ACXKOP,MINI Put,7.1603,31/12/2029,1.0,American,CITIWARRANTS,COR,05/09/2016,0.93,
ACXKOQ,MINI Put,6.3262,31/12/2029,1.0,American,CITIWARRANTS,COR,05/09/2016,0.93,
ACXKOS,MINI Put,7.857,31/12/2029,1.0,American,CITIWARRANTS,COR,24/02/2017,0.93,
AFIJOA,Instalment MINI,4.22,17/08/2022,1.0,American,CITIWARRANTS,COR,03/10/2017,10,
AFIJOH,Instalment MINI,4.1962,12/12/2017,1.0,American,CITIWARRANTS,COR,13/12/2012,10,Dividends paid on the underlying security will be used to reduce the Loan Amount (i.e. Exercise Price); effective from the ex-dividend date of the underlying security.
AFIJOZ,Instalment MINI,3.7604,18/11/2021,1.0,American,CITIWARRANTS,COR,25/11/2016,10,
AGLIOV,Instalment Regular Rolling,9.00,15/12/2017,1.0,American,CITIWARRANTS,COR,18/12/2013,10,
AGLISK,Instalment Regular Normal,10.7846,08/06/2018,1.0,American,UBS,COR,31/05/2016,10,
AGLIYE,Instalment Regular Rolling,8.4673,19/06/2018,1.0,American,COMM BANK,COR,10/12/2014,0.5,
AGLJOP,Instalment MINI,11.4994,30/05/2019,1.0,American,CITIWARRANTS,COR,25/11/2014,10,
AGLJOQ,Instalment MINI,14.4185,30/05/2019,1.0,American,CITIWARRANTS,COR,25/11/2014,10,
AGLKOC,MINI Call,20.4442,31/12/2029,1.0,American,CITIWARRANTS,COR,27/10/2017,1.46,
AGLKOD,MINI Call,21.3842,31/12/2029,1.0,American,CITIWARRANTS,COR,12/09/2017,1.46,
AGLKOE,MINI Call,19.5934,31/12/2029,1.0,American,CITIWARRANTS,COR,23/09/2016,1.46,
AGLKOP,MINI Put,31.1027,31/12/2029,1.0,American,CITIWARRANTS,COR,27/10/2017,1.46,
AGLKOS,MINI Put,28.4397,31/12/2029,1.0,American,CITIWARRANTS,COR,29/06/2017,1.46,
AGLKOT,MINI Put,29.3631,31/12/2029,1.0,American,CITIWARRANTS,COR,27/10/2017,1.46,
AGLSO1,Barrier SFI,6.629,06/12/2019,1.0,American,CITIWARRANTS,COR,09/12/2014,10,
AGLSO2,Barrier SFI,9.659,18/11/2021,1.0,American,CITIWARRANTS,COR,25/11/2016,10,
AGLSO3,Barrier SFI,12.0873,14/07/2022,1.0,American,CITIWARRANTS,COR,01/08/2017,10,
AGLSOM,Self Funding Instalments,8.499,18/06/2021,1.0,American,CITIWARRANTS,COR,23/06/2016,10,
AGLSOP,Self Funding Instalments,12.50,17/06/2022,1.0,American,CITIWARRANTS,COR,26/10/2017,10,
AGLSSE,Self Funding Instalments,11.3764,08/06/2018,1.0,American,UBS,COR,31/05/2016,10,
AGLSSJ,Capped SFI,26.2765,29/06/2018,1.0,European,UBS,COR,28/06/2017,10,
AGLSSY,Self Funding Instalments,28.05,02/05/2018,1.0,American,UBS,COR,04/05/2017,10,
AGLSWR,Self Funding Instalments,7.2649,30/06/2020,1.0,American,WESTPAC,COR,24/04/2015,10,
AHGKOB,MINI Call,2.3053,31/12/2029,1.0,American,CITIWARRANTS,COR,01/03/2016,0.94,
AHGKOC,MINI Call,2.7739,31/12/2029,1.0,American,CITIWARRANTS,COR,08/12/2016,0.94,
AHGKOQ,MINI Put,3.8605,31/12/2029,1.0,American,CITIWARRANTS,COR,01/03/2016,0.94,
AHGKOR,MINI Put,4.4136,31/12/2029,1.0,American,CITIWARRANTS,COR,05/09/2016,0.94,
AKPJOA,Instalment MINI,7.0653,18/11/2021,1.0,American,CITIWARRANTS,COR,25/11/2016,10,
ALLIOV,Instalment Regular Rolling,5.00,15/12/2017,1.0,American,CITIWARRANTS,COR,18/12/2013,10,
ALLJOA,Instalment MINI,12.0572,17/08/2022,1.0,American,CITIWARRANTS,COR,03/10/2017,10,
ALLKOA,MINI Call,19.9242,31/12/2029,1.0,American,CITIWARRANTS,COR,14/07/2015,2.22,
ALLKOB,MINI Call,15.9632,31/12/2029,1.0,American,CITIWARRANTS,COR,08/12/2016,2.22,
ALLKOD,MINI Call,7.8166,31/12/2029,1.0,American,CITIWARRANTS,COR,01/03/2012,10,
ALLKOG,MINI Call,8.4297,31/12/2029,1.0,American,CITIWARRANTS,COR,12/03/2014,2.22,
ALLKOP,MINI Put,28.5633,31/12/2029,1.0,American,CITIWARRANTS,COR,27/10/2017,1.89,
ALLKOQ,MINI Put,29.9929,31/12/2029,1.0,American,CITIWARRANTS,COR,27/10/2017,1.89,
ALLKOR,MINI Put,27.7646,31/12/2029,1.0,American,CITIWARRANTS,COR,29/06/2017,2.22,
ALLKOT,MINI Put,26.5331,31/12/2029,1.0,American,CITIWARRANTS,COR,29/06/2017,2.22,
ALLKOV,MINI Put,27.1701,31/12/2029,1.0,American,CITIWARRANTS,COR,12/08/2014,2.22,
ALLSOP,Self Funding Instalments,11.50,17/06/2022,1.0,American,CITIWARRANTS,COR,26/10/2017,10,
ALQKOA,MINI Call,6.291,31/12/2029,1.0,American,CITIWARRANTS,COR,07/04/2016,1.31,
ALQKOC,MINI Call,5.5687,31/12/2029,1.0,American,CITIWARRANTS,COR,25/05/2017,1.18,
ALQKOE,MINI Call,6.6659,31/12/2029,1.0,American,CITIWARRANTS,COR,11/02/2016,1.31,
ALQKOF,MINI Call,5.3146,31/12/2029,1.0,American,CITIWARRANTS,COR,11/02/2016,1.31,
ALQKOP,MINI Put,9.8059,31/12/2029,1.0,American,CITIWARRANTS,COR,30/06/2016,1.31,
ALQKOR,MINI Put,10.6715,31/12/2029,1.0,American,CITIWARRANTS,COR,20/05/2016,1.31,
ALQKOT,MINI Put,10.1798,31/12/2029,1.0,American,CITIWARRANTS,COR,20/10/2015,1.31,
ALQKOU,MINI Put,11.1009,31/12/2029,1.0,American,CITIWARRANTS,COR,20/05/2016,1.31,
ALUKOA,MINI Call,9.2063,31/12/2029,1.0,American,CITIWARRANTS,COR,24/02/2017,0.54,
ALUKOB,MINI Call,5.9701,31/12/2029,1.0,American,CITIWARRANTS,COR,20/05/2016,0.86,
